dnaK	0.494780793	4.707337487	15.7662626	154.501486			58	7.25	6.9047619
dnaJ	0.12699115	7.56666892	2.517444955	27.38808642			292	36.5	34.761905	
ribF	0.148246546	2.132638767	10.42698006	1.267864705			313	39.125	37.2619047619
ileS	0.183238636	5.903922281	4.655514435	13.76024087			938	117.25	111.6666666667
dapB	0.087697929	3.533019252	3.72335626	13.52704294			273	34.125	32.5
carA	0.544425087	2.917116166	27.9946901	17.04683989			382	47.75	45.4761904762
kefC	0.007787325	3.014094763	0.387545463	8.017123919			620	77.5	73.8095238095
apaG	0.086206897	7.993539064	1.617685789	0.506896955			125	15.625	14.880952381
surA	0.167962675	2.974387548	8.470450082	0.810936837			428	53.5	50.9523809524
hepA	0.028389539	2.906981205	1.464897964	17.71454438			968	121	115.2380952381
fruR	0.043824701	2.247511856	2.924881189	9.823646891			334	41.75	39.7619047619
murE	0.051782112	6.273467539	1.238121781	25.62106612			495	61.875	58.9285714286
murF	0.036450663	11.13522455	0.491018338	38.9333728			452	56.5	53.8095238095
secA	0.104805915	5.835602008	2.693961519	26.47365209			221	27.625	26.3095238095
mutT	0.017994859	4.35915142	0.619209702	6.246672153			129	16.125	15.3571428571
guaC	0.146212848	9.050857718	2.423187711	27.84679028			347	43.375	41.3095238095
hofB	0.002888087	2.886933937	0.150059911	5.15793988			461	57.625	54.880952381
nadC	0.026315789	2.068342438	1.908469448	20.49652933			297	37.125	35.3571428571
aceE	0.999061209	9.460525259	15.84047156	53.23010723			887	110.875	105.5952380952
aceF	0.906976744	16.86348813	8.067519042	105.4422054			630	78.75	75
acnB	0.436657682	9.597178397	6.824782201	33.9341232			865	108.125	102.9761904762
yacL	0.100828729	3.996921324	3.783989757	1.021937227			120	15	14.2857142857
speD	0.073047859	14.2843115	0.767077843	63.48899328			264	33	31.4285714286
yadG	0.057775378	7.862531857	1.102228501	10.35719907			308	38.5	36.6666666667
yadE	0.008136697	6.440249431	0.189512	10.25792562			409	51.125	48.6904761905
panC	0.12573443	3.49778849	5.392025434	9.886266423			283	35.375	33.6904761905
pcnB	0.155332856	2.043942603	11.3995023	2.340102164			454	56.75	54.0476190476
mrcB	0.023875296	3.181950394	1.125502901	0.839624668			844	105.5	100.4761904762
fhuA	0.061078912	3.125216222	2.931584937	1.332043957			747	93.375	88.9285714286
fhuC	0.020702635	2.939124838	1.056571402	10.49148215			265	33.125	31.5476190476
yadR	0.222383721	4.597643515	7.255359847	27.47472272			114	14.25	13.5714285714
